,e,N2,N,N2+,N+,T_e,T_mono,T_diato
0,5.8723062144284776e+16,7.006643938134712e+18,5.348110323299712e+18,4.235372058458202e+16,1.6369341560670232e+16,10.099888717986733,0.037160707810461845,0.035429151180237636
1,6.84494024903048e+16,8.80649337410956e+18,7.356710918191829e+18,4.781640867412057e+16,2.063299381610638e+16,8.730572851174212,0.03827928121383201,0.037905903731058864
2,7.803264625849542e+16,1.138455567291553e+19,9.982669577065722e+18,5.330819060772544e+16,2.4724455685022452e+16,7.594481588700511,0.03949071888805145,0.04157903044014462
3,9.187337174093613e+16,1.9525728995649188e+19,1.6340916239070968e+19,6.266862457685741e+16,2.9204747162049344e+16,6.007753844745562,0.04161460164840342,0.05253383483060789
4,9.638350048945813e+16,3.462505763296892e+19,2.3191892995752026e+19,6.915707062152207e+16,2.7226429846693716e+16,4.95028875639445,0.042755560565463896,0.0689147813610743
5,9.25020132680804e+16,6.114613584739946e+19,2.8499902815580004e+19,7.177636787307753e+16,2.0725645431656092e+16,4.216114821896613,0.04248135055143609,0.09004081860317123
6,8.400448640357374e+16,1.052840897011669e+20,3.0923310684866007e+19,7.051145424875256e+16,1.3493032079185152e+16,3.67399949165422,0.04105775707620133,0.11510019833212658
7,7.44735105395347e+16,1.6917027938449084e+20,3.056555247763415e+19,6.6309299722095144e+16,8164210843822271.0,3.2803135868570235,0.03919843273359898,0.1410368018701037
8,6.598245191551506e+16,2.4740146511503065e+20,2.8879250322639573e+19,6.095228361703358e+16,5030168281744941.0,3.0047308518447613,0.037529563541287274,0.16426403105159157
9,5.771874487249389e+16,3.515720440477452e+20,2.6619811517969125e+19,5.4688729578062936e+16,3030015335572153.0,2.777194484974839,0.036005011458779525,0.18703844480032536
10,5.3682230199342856e+16,4.1619611765631137e+20,2.54103100603756e+19,5.13498637360619e+16,2332366449205625.0,2.6765555116261597,0.035313395484298314,0.1981719520130967
11,5.194344069476694e+16,4.475369741188974e+20,2.487848823458154e+19,4.986644017835528e+16,2077000481491629.2,2.6349013764021976,0.03502743650763568,0.2029636182724065
